[30/12/2012 | 00:22:48] Troke Spawned a "Police Car (LSPD)" (Model:596) Colours (120, 3), Pos: X:-2631.19, Y:707.23, Z:27.79
[30/12/2012 | 14:02:23] Troke Spawned a "Hydra" (Model:520) Colours (115, 25), Pos: X:406.42, Y:2517.88, Z:16.48
[03/01/2013 | 18:05:25] [MADC]Vansist Spawned a "Sabre" (Model:475) Colours (115, 104), Pos: X:-295.72, Y:1524.71, Z:75.35
[03/01/2013 | 20:01:16] [MADC]Vansist Spawned a "Sabre" (Model:475) Colours (105, 116), Pos: X:249.55, Y:2688.00, Z:18.39
[03/01/2013 | 20:02:22] Troke Spawned a "Sabre" (Model:475) Colours (90, 80), Pos: X:332.86, Y:2887.50, Z:49.33
[03/01/2013 | 20:03:56] [MADC]Vansist Spawned a "Sabre" (Model:475) Colours (119, 2), Pos: X:606.01, Y:3368.21, Z:15.02
[03/01/2013 | 20:05:19] [MADC]Vansist Spawned a "Faggio" (Model:462) Colours (90, 13), Pos: X:932.47, Y:3108.35, Z:1.16
[03/01/2013 | 20:43:30] [MADC]Vansist Spawned a "Mesa" (Model:500) Colours (118, 12), Pos: X:84.46, Y:2576.54, Z:16.48
[03/01/2013 | 20:47:51] [MADC]Vansist Spawned a "Elegy" (Model:562) Colours (41, 53), Pos: X:-1994.38, Y:383.17, Z:35.17
[03/01/2013 | 22:10:08] Troke Spawned a "Sabre" (Model:475) Colours (20, 51), Pos: X:-2634.88, Y:1366.86, Z:7.12
[03/01/2013 | 22:10:12] Troke Spawned a "Sabre" (Model:475) Colours (85, 30), Pos: X:-2634.88, Y:1366.86, Z:7.12
[03/01/2013 | 22:10:30] Troke Spawned a "Sabre" (Model:475) Colours (6, 32), Pos: X:-301.24, Y:1531.58, Z:75.35
[04/01/2013 | 21:16:08] Troke Spawned a "Sabre" (Model:475) Colours (56, 15), Pos: X:1365.73, Y:1372.80, Z:10.82
[04/01/2013 | 21:19:20] Troke Spawned a "Leviathan" (Model:417) Colours (52, 23), Pos: X:1362.38, Y:1354.97, Z:10.81
[04/01/2013 | 21:19:26] Troke Spawned a "AT-400" (Model:577) Colours (11, 79), Pos: X:1358.04, Y:1353.39, Z:10.81
[04/01/2013 | 21:19:35] Troke Spawned a "AT-400" (Model:577) Colours (10, 81), Pos: X:1381.33, Y:1341.63, Z:10.82
[04/01/2013 | 21:19:51] Troke Spawned a "AT-400" (Model:577) Colours (91, 72), Pos: X:1409.74, Y:1342.12, Z:10.82
[05/01/2013 | 15:12:26] Troke Spawned a "Sabre" (Model:475) Colours (115, 40), Pos: X:-1589.54, Y:1052.98, Z:7.03
[05/01/2013 | 16:26:05] Troke Spawned a "Sabre" (Model:475) Colours (8, 82), Pos: X:-1566.60, Y:898.10, Z:7.03
[05/01/2013 | 16:50:40] Troke Spawned a "Sabre" (Model:475) Colours (36, 78), Pos: X:-1738.09, Y:941.15, Z:24.74
[05/01/2013 | 23:31:22] Troke Spawned a "Police Car (SFPD)" (Model:597) Colours (54, 102), Pos: X:-2027.29, Y:141.88, Z:28.83
[07/01/2013 | 19:16:21] MrD Spawned a "Elegy" (Model:562) Colours (97, 44), Pos: X:-1607.53, Y:725.00, Z:12.17
[07/01/2013 | 19:16:44] MrD Spawned a "Police Maverick" (Model:497) Colours (83, 5), Pos: X:-1595.95, Y:721.69, Z:9.90
[07/01/2013 | 19:17:53] Troke Spawned a "Elegy" (Model:562) Colours (2, 78), Pos: X:-1596.25, Y:722.56, Z:10.29
[07/01/2013 | 19:17:55] Troke Spawned a "Elegy" (Model:562) Colours (99, 101), Pos: X:-1594.34, Y:728.67, Z:9.78
[07/01/2013 | 19:30:07] Troke Spawned a "Elegy" (Model:562) Colours (44, 115), Pos: X:617.05, Y:3372.36, Z:11.10
[08/01/2013 | 01:49:39] Troke Spawned a "Sabre" (Model:475) Colours (79, 98), Pos: X:-2148.49, Y:1074.96, Z:79.84
[08/01/2013 | 22:36:25] Troke Spawned a "Monster" (Model:444) Colours (4, 72), Pos: X:2320.19, Y:1395.13, Z:42.82
[08/01/2013 | 22:50:43] Troke Spawned a "Elegy" (Model:562) Colours (6, 6), Pos: X:2477.30, Y:-1665.38, Z:13.32
[09/01/2013 | 18:10:01] Troke Spawned a "Sabre" (Model:475) Colours (81, 124), Pos: X:-2748.62, Y:-297.53, Z:7.03
[09/01/2013 | 18:18:19] Troke Spawned a "Sabre" (Model:475) Colours (117, 122), Pos: X:-2893.95, Y:496.98, Z:4.90
[09/01/2013 | 18:21:12] Troke Spawned a "Sabre" (Model:475) Colours (54, 96), Pos: X:-2614.18, Y:-510.94, Z:71.95
[09/01/2013 | 18:23:44] Troke Spawned a "Sabre" (Model:475) Colours (115, 58), Pos: X:-2232.78, Y:-1739.36, Z:481.03
[09/01/2013 | 22:46:01] Troke Spawned a "Elegy" (Model:562) Colours (38, 120), Pos: X:231.83, Y:1926.15, Z:17.64
[10/01/2013 | 10:00:17] Troke Spawned a "Hydra" (Model:520) Colours (73, 4), Pos: X:-1995.14, Y:497.77, Z:35.17
[10/01/2013 | 10:03:13] Troke Spawned a "Elegy" (Model:562) Colours (51, 12), Pos: X:-1601.12, Y:719.40, Z:11.17
[10/01/2013 | 12:34:20] Troke Spawned a "Monster" (Model:444) Colours (119, 56), Pos: X:-2047.61, Y:-81.37, Z:35.16
[10/01/2013 | 12:44:12] Troke Spawned a "Elegy" (Model:562) Colours (42, 12), Pos: X:-1593.00, Y:725.99, Z:9.55
[10/01/2013 | 14:43:00] Troke Spawned a "Monster" (Model:444) Colours (76, 14), Pos: X:-2017.42, Y:-68.22, Z:35.17
[10/01/2013 | 15:03:45] Troke Spawned a "Rhino" (Model:432) Colours (76, 73), Pos: X:-2044.26, Y:-80.53, Z:35.16
[10/01/2013 | 15:04:15] Troke Spawned a "Hydra" (Model:520) Colours (78, 115), Pos: X:-2036.61, Y:-83.73, Z:35.51
[10/01/2013 | 15:08:25] Troke Spawned a "Elegy" (Model:562) Colours (35, 20), Pos: X:-1536.79, Y:892.39, Z:45.93
[10/01/2013 | 15:08:28] Troke Spawned a "Elegy" (Model:562) Colours (51, 102), Pos: X:-1527.22, Y:902.98, Z:56.13
[10/01/2013 | 15:08:30] Troke Spawned a "Elegy" (Model:562) Colours (23, 39), Pos: X:-1519.78, Y:911.23, Z:64.06
[10/01/2013 | 18:09:47] Troke Spawned a "Hydra" (Model:520) Colours (15, 120), Pos: X:-2032.18, Y:-77.34, Z:35.32
[10/01/2013 | 18:16:26] Troke Spawned a "Hydra" (Model:520) Colours (94, 125), Pos: X:-1222.65, Y:1865.33, Z:40.97
[10/01/2013 | 18:17:57] Troke Spawned a "DFT-30" (Model:578) Colours (32, 15), Pos: X:-1220.97, Y:1873.36, Z:41.08
[16/01/2013 | 18:13:05] Troke Spawned a "Sabre" (Model:475) Colours (18, 34), Pos: X:-1543.70, Y:877.04, Z:7.26
[16/01/2013 | 18:13:09] Troke Spawned a "Sabre" (Model:475) Colours (18, 91), Pos: X:-1542.31, Y:877.67, Z:7.26
[16/01/2013 | 18:13:13] Troke Spawned a "Sabre" (Model:475) Colours (48, 56), Pos: X:-1540.21, Y:878.03, Z:7.26
[16/01/2013 | 18:15:07] Troke Spawned a "Sabre" (Model:475) Colours (74, 31), Pos: X:-2545.52, Y:-372.10, Z:61.78
[16/01/2013 | 18:15:17] Troke Spawned a "Sabre" (Model:475) Colours (124, 108), Pos: X:-2566.96, Y:-372.33, Z:50.09
[16/01/2013 | 18:26:45] Troke Spawned a "Hydra" (Model:520) Colours (121, 22), Pos: X:-1978.42, Y:472.97, Z:35.16
[18/01/2013 | 21:02:37] Troke Spawned a "Monster" (Model:444) Colours (0, 7), Pos: X:-1890.49, Y:-1719.23, Z:21.75
[18/01/2013 | 21:24:20] Troke Spawned a "Infernus" (Model:411) Colours (35, 44), Pos: X:2440.01, Y:1368.83, Z:10.67
[18/01/2013 | 21:24:30] Troke Spawned a "Picador" (Model:600) Colours (99, 54), Pos: X:2461.34, Y:1371.75, Z:10.67
[18/01/2013 | 21:24:34] Troke Spawned a "Picador" (Model:600) Colours (110, 105), Pos: X:2462.04, Y:1369.58, Z:10.67
[18/01/2013 | 21:24:38] Troke Spawned a "Picador" (Model:600) Colours (87, 104), Pos: X:2463.55, Y:1370.77, Z:10.67
[18/01/2013 | 21:43:24] Troke Spawned a "Tow Truck" (Model:525) Colours (1, 110), Pos: X:2633.78, Y:845.87, Z:5.66
[21/01/2013 | 21:26:58] Troke Spawned a "Monster" (Model:444) Colours (105, 87), Pos: X:2315.65, Y:1401.27, Z:42.82
[27/01/2013 | 21:01:29] Troke Spawned a "Hydra" (Model:520) Colours (22, 53), Pos: X:1300.05, Y:1374.19, Z:10.82
